id,name,team
212867,Heung-Min Son,Tottenham Hotspur
212869,Willi Evseev,Meppen
212870,Denis Thomalla,AEL Limassol
212872,Chistian Grimm,Pirmasens
212873,Daniel Batz,Mainz 05
212874,Felicio Brown Forbes,Yanbian Longding
212875,Robert Mak,Slovan Bratislava
212877,Deniz Herber,St. Pauli II
212879,Florian Trinks,FC Schweinfurt
212881,Tolga Cigerci,Sivasspor
212885,Björn Bussmann,Caudal Deportivo
212886,Vitus Eicher,FC Heidenheim
212893,Kevin Volland,Union Berlin
212894,Markus Ziereis,Oldenburg
212896,Henrik Ojamaa,Paide Linnameeskond
212898,Adil Lachheb,SV Straelen
